token,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,bias
A win Y,-0.063273,0.023592,-0.021073,0.023587,0.021616,-0.003105,-0.008638,-0.006585,0.004285,-0.001323,0.000013,0.039590,0.017117,-0.024471,-0.025421,-0.030026,-0.001160,-0.011404,-0.046507,0.028932,-0.001054,-0.034647,0.049777,-0.026521,0.433318
B win Y,0.044271,-0.023883,0.037616,-0.011327,0.003150,-0.014276,-0.013899,-0.022250,0.011851,0.030742,0.022838,-0.004158,-0.011319,0.027939,-0.021302,0.017145,0.000296,-0.025443,0.065779,-0.040667,-0.031076,-0.023137,-0.047110,0.041260,0.296156
Draw Y,0.019002,0.000291,-0.016544,-0.012259,-0.024766,0.017382,0.022537,0.028834,-0.016137,-0.029419,-0.022850,-0.035433,-0.005799,-0.003468,0.046723,0.012881,0.000863,0.036847,-0.019273,0.011734,0.032131,0.057784,-0.002667,-0.014739,0.270527
A -1.5 Y,-0.046018,0.017239,-0.000087,0.003096,0.008875,0.001310,-0.008329,-0.010955,0.010022,-0.002618,-0.019961,0.005470,0.003624,-0.002877,-0.009046,-0.005048,0.023690,0.039764,-0.006771,0.062231,-0.019998,0.019868,0.063857,-0.039340,0.214998
B -1.5 Y,0.027463,-0.009048,0.026814,0.001639,0.004264,-0.004696,-0.010030,-0.007830,0.017831,0.010053,0.015776,0.000405,-0.009660,0.008651,-0.027406,0.013652,-0.013351,-0.001515,0.055280,-0.022531,0.017976,0.001828,0.027901,0.023734,0.117228
A -2.5 Y,-0.028690,0.012038,0.010222,0.005261,0.008771,0.000941,-0.001931,-0.003437,0.002498,-0.010515,-0.014864,-0.003447,0.009427,0.010684,-0.019453,0.021936,0.033485,-0.003021,-0.004355,0.051273,-0.044186,0.017326,-0.001643,-0.081407,0.098244
B -2.5 Y,0.011708,-0.002442,0.011883,0.003024,-0.000494,-0.004004,-0.008123,-0.003259,0.006575,0.006664,-0.000478,0.003766,-0.003167,0.000345,-0.007935,0.001939,-0.000636,0.010280,0.046068,-0.032993,0.030522,0.020154,0.037105,0.002028,0.039393
O 1.5 Y,-0.017680,-0.011785,0.031840,0.002278,0.004773,-0.004542,0.008686,-0.045740,-0.008135,0.044453,-0.000725,-0.002869,-0.000768,0.022457,-0.023285,0.016775,-0.006397,0.012713,0.049039,-0.016768,-0.038946,-0.004567,0.059047,-0.067091,0.734219
O 2.5 Y,-0.022215,-0.001871,0.045761,0.005732,0.009676,0.000005,-0.000367,-0.018497,-0.022053,0.029038,0.009021,0.017180,0.012794,0.019883,-0.040142,0.013536,0.038086,-0.036063,0.013438,-0.059480,-0.034657,-0.000143,-0.018638,0.019940,0.495966
O 3.5 Y,-0.014593,0.000125,0.037677,-0.003143,0.010759,0.001016,0.002710,-0.004162,-0.020922,0.009245,-0.004436,0.012919,0.012323,0.007864,-0.017044,0.013358,0.018015,-0.001693,0.037102,-0.008802,-0.015246,0.006518,-0.017576,0.068869,0.276222
O 4.5 Y,-0.010272,-0.001256,0.024594,-0.000617,0.009937,0.011527,0.008425,-0.000046,-0.012647,-0.000116,-0.012591,-0.002739,0.009920,0.015946,-0.007665,0.000744,-0.014740,-0.034098,0.029331,-0.011120,-0.021125,0.020923,-0.089475,-0.040448,0.132890
